,식당명,주소
0,설봉돼지국밥,부산광역시 금정구 수림로49번길 6 (장전동)
1,또순이돼지국밥,부산광역시 금정구 서부로 20 (서동)
2,목촌돼지국밥 서동점,부산광역시 금정구 서동로 192 (서동)
3,영진돼지국밥,부산광역시 금정구 개좌로 84 (금사동)
4,장수돼지국밥,부산광역시 금정구 부곡로 96 (부곡동)
5,별미청 돼지국밥,부산광역시 금정구 금정로 249 (구서동)
6,행복돼지국밥,부산광역시 금정구 금샘로 567-1 (남산동)
7,장수돼지국밥,부산광역시 금정구 금정로237번길 12 (구서동)
8,남산돼지국밥,부산광역시 금정구 중앙대로 2023 (남산동)
9,언양돼지국밥,부산광역시 금정구 서동중심로 60-10 (서동)
10,소문난돼지국밥,부산광역시 금정구 금사로 171 (회동동)
11,마루돼지국밥,부산광역시 금정구 개좌로 59-12 (금사동)
12,금문돼지국밥,부산광역시 금정구 금강로 684 (남산동)
13,우리마을돼지국밥,부산광역시 금정구 금강로 728-1 (남산동)
14,무진장돼지국밥,부산광역시 금정구 중앙대로1531번길 12 (장전동)
15,수라돼지국밥,부산광역시 금정구 금정로 57-1 (장전동)
16,장수원돼지국밥,부산광역시 금정구 범어천로 4 (남산동)
17,화로돼지국밥,부산광역시 금정구 수림로19번길 25 (부곡동)
18,밀양돼지국밥,부산광역시 금정구 중앙대로1929번길 6 (구서동)
19,서동돼지국밥,부산광역시 금정구 서동로 130-1 (서동)
20,정원돼지국밥,부산광역시 금정구 중앙대로1685번길 31 (부곡동)
21,가야공원돼지국밥,부산광역시 금정구 장전온천천로 87 (장전동)
22,미광돼지국밥,부산광역시 금정구 서부곡로 13 (부곡동)
23,합천돼지국밥,부산광역시 금정구 서금로 17 (서동)
24,왕대박돼지국밥,부산광역시 금정구 수림로50번길 200-7 (구서동)
25,현대보쌈돼지국밥,부산광역시 금정구 부곡로 45 (부곡동)
26,금정돼지국밥,"부산광역시 금정구 금정로231번길 28-1, 1층 (구서동)"
27,복돈돼지국밥,"부산광역시 금정구 범어천로52번길 31, 1층 (남산동)"
28,고려돼지국밥,부산광역시 금정구 중앙대로 1920 (구서동)
29,한성 가마솥 돼지국밥,부산광역시 금정구 금강로 683 (남산동)
30,장전돼지국밥,부산광역시 금정구 부산대학로49번길 13 (장전동)
31,백년 돼지국밥,"부산광역시 금정구 개좌로 17, 1층 (서동)"
32,한뚝배기 돼지국밥,"부산광역시 금정구 서명로 9, 1층 (서동)"
33,밀양돼지국밥&감자탕,"부산광역시 금정구 중앙대로1959번길 8, 1층 (구서동)"
34,구월산 돼지국밥,"부산광역시 금정구 장전로 14, 1층 (장전동)"
35,청화백 돼지국밥,"부산광역시 금정구 부곡로 142, 1층 (부곡동)"
36,서면포항돼지국밥,"부산광역시 부산진구 서면로68번길 25, 지상1층 (부전동)"
37,부산돼지국밥,부산광역시 부산진구 신천대로65번길 63 (범천동)
38,큰집돼지국밥,부산광역시 부산진구 백양대로60번길 18 (당감동)
39,돼지국밥집,부산광역시 부산진구 동천로132번길 23-1 (전포동)
40,장터돼지국밥,"부산광역시 부산진구 가야대로 590-2, 1층 (가야동)"
41,한방돼지국밥,부산광역시 부산진구 연수로 41 (양정동)
42,장수 돼지국밥,부산광역시 부산진구 가야대로703번길 5 (당감동)
43,수영본가돼지국밥,"부산광역시 부산진구 서면로68번길 25, 1층 (부전동)"
